GeneID	Symbol
ENSG00000136754	ABI1
ENSG00000097007	ABL1
ENSG00000143322	ABL2
ENSG00000123983	ACSL3
ENSG00000164398	ACSL6
ENSG00000172493	AFF1
ENSG00000144218	AFF3
ENSG00000072364	AFF4
ENSG00000127914	AKAP9
ENSG00000142208	AKT1
ENSG00000105221	AKT2
ENSG00000117020	AKT3
ENSG00000111275	ALDH2
ENSG00000171094	ALK
ENSG00000134982	APC
ENSG00000169083	AR
ENSG00000145819	ARHGAP26
ENSG00000196914	ARHGEF12
ENSG00000117713	ARID1A
ENSG00000189079	ARID2
ENSG00000143437	ARNT
ENSG00000241685	ARPC1A
ENSG00000169696	ASPSCR1
ENSG00000171456	ASXL1
ENSG00000123268	ATF1
ENSG00000138363	ATIC
ENSG00000149311	ATM
ENSG00000085224	ATRX
ENSG00000087586	AURKA
ENSG00000156735	BAG4
ENSG00000163930	BAP1
ENSG00000142867	BCL10
ENSG00000119866	BCL11A
ENSG00000127152	BCL11B
ENSG00000171791	BCL2
ENSG00000129473	BCL2L2
ENSG00000069399	BCL3
ENSG00000113916	BCL6
ENSG00000110987	BCL7A
ENSG00000116128	BCL9
ENSG00000183337	BCOR
ENSG00000186716	BCR
ENSG00000110330	BIRC2
ENSG00000023445	BIRC3
ENSG00000197299	BLM
ENSG00000107779	BMPR1A
ENSG00000157764	BRAF
ENSG00000012048	BRCA1
ENSG00000139618	BRCA2
ENSG00000169925	BRD3
ENSG00000141867	BRD4
ENSG00000136492	BRIP1
ENSG00000133639	BTG1
ENSG00000156970	BUB1B
ENSG00000158636	C11orf30
ENSG00000163026	C2orf44
ENSG00000176907	C8orf4
ENSG00000198216	CACNA1E
ENSG00000171735	CAMTA1
ENSG00000171302	CANT1
ENSG00000198286	CARD11
ENSG00000110619	CARS
ENSG00000137812	CASC5
ENSG00000129993	CBFA2T3
ENSG00000067955	CBFB
ENSG00000110395	CBL
ENSG00000114423	CBLB
ENSG00000142273	CBLC
ENSG00000108091	CCDC6
ENSG00000100814	CCNB1IP1
ENSG00000110092	CCND1
ENSG00000118971	CCND2
ENSG00000112576	CCND3
ENSG00000105173	CCNE1
ENSG00000120217	CD274
ENSG00000019582	CD74
ENSG00000105369	CD79A
ENSG00000007312	CD79B
ENSG00000094804	CDC6
ENSG00000134371	CDC73
ENSG00000039068	CDH1
ENSG00000140937	CDH11
ENSG00000167258	CDK12
ENSG00000135446	CDK4
ENSG00000105810	CDK6
ENSG00000147889	CDKN2A
ENSG00000123080	CDKN2C
ENSG00000165556	CDX2
ENSG00000245848	CEBPA
ENSG00000170791	CHCHD7
ENSG00000131778	CHD1L
ENSG00000183765	CHEK2
ENSG00000109220	CHIC2
ENSG00000128656	CHN1
ENSG00000079432	CIC
ENSG00000179583	CIITA
ENSG00000173207	CKS1B
ENSG00000172409	CLP1
ENSG00000141367	CLTC
ENSG00000070371	CLTCL1
ENSG00000169714	CNBP
ENSG00000119397	CNTRL
ENSG00000108821	COL1A1
ENSG00000141030	COPS3
ENSG00000164919	COX6C
ENSG00000118260	CREB1
ENSG00000157613	CREB3L1
ENSG00000182158	CREB3L2
ENSG00000005339	CREBBP
ENSGR0000205755	CRLF2
ENSG00000205755	CRLF2
ENSG00000105662	CRTC1
ENSG00000140577	CRTC3
ENSG00000168036	CTNNB1
ENSG00000083799	CYLD
ENSG00000204209	DAXX
ENSG00000043093	DCUN1D1
ENSG00000134574	DDB2
ENSG00000175197	DDIT3
ENSG00000178105	DDX10
ENSG00000108654	DDX5
ENSG00000110367	DDX6
ENSG00000124795	DEK
ENSG00000100697	DICER1
ENSG00000079805	DNM2
ENSG00000119772	DNMT3A
ENSG00000260596	DUX4
ENSG00000127334	DYRK2
ENSG00000112242	E2F3
ENSG00000164330	EBF1
ENSG00000203734	ECT2L
ENSG00000101210	EEF1A2
ENSG00000146648	EGFR
ENSG00000156976	EIF4A2
ENSG00000163577	EIF5A2
ENSG00000102034	ELF4
ENSG00000158711	ELK4
ENSG00000105656	ELL
ENSG00000049540	ELN
ENSG00000143924	EML4
ENSG00000100393	EP300
ENSG00000085832	EPS15
ENSG00000141736	ERBB2
ENSG00000082805	ERC1
ENSG00000104884	ERCC2
ENSG00000163161	ERCC3
ENSG00000175595	ERCC4
ENSG00000134899	ERCC5
ENSG00000157554	ERG
ENSG00000006468	ETV1
ENSG00000175832	ETV4
ENSG00000244405	ETV5
ENSG00000139083	ETV6
ENSG00000182944	EWSR1
ENSG00000182197	EXT1
ENSG00000151348	EXT2
ENSG00000106462	EZH2
ENSG00000092820	EZR
ENSG00000168040	FADD
ENSG00000183508	FAM46C
ENSG00000187741	FANCA
ENSG00000158169	FANCC
ENSG00000144554	FANCD2
ENSG00000112039	FANCE
ENSG00000183161	FANCF
ENSG00000221829	FANCG
ENSG00000026103	FAS
ENSG00000138081	FBXO11
ENSG00000109670	FBXW7
ENSG00000072694	FCGR2B
ENSG00000163518	FCRL4
ENSG00000163497	FEV
ENSG00000077782	FGFR1
ENSG00000213066	FGFR1OP
ENSG00000066468	FGFR2
ENSG00000068078	FGFR3
ENSG00000091483	FH
ENSG00000189283	FHIT
ENSG00000145216	FIP1L1
ENSG00000154803	FLCN
ENSG00000151702	FLI1
ENSG00000122025	FLT3
ENSG00000187239	FNBP1
ENSG00000183770	FOXL2
ENSG00000150907	FOXO1
ENSG00000118689	FOXO3
ENSG00000184481	FOXO4
ENSG00000114861	FOXP1
ENSG00000070404	FSTL3
ENSG00000162613	FUBP1
ENSG00000089280	FUS
ENSG00000007237	GAS7
ENSG00000102145	GATA1
ENSG00000179348	GATA2
ENSG00000107485	GATA3
ENSG00000141448	GATA6
ENSG00000163655	GMPS
ENSG00000088256	GNA11
ENSG00000156052	GNAQ
ENSG00000087460	GNAS
ENSG00000066455	GOLGA5
ENSG00000047932	GOPC
ENSG00000147257	GPC3
ENSG00000179399	GPC5
ENSG00000171723	GPHN
ENSG00000141738	GRB7
ENSG00000163041	H3F3A
ENSG00000051108	HERPUD1
ENSG00000164683	HEY1
ENSG00000127946	HIP1
ENSG00000276180	HIST1H4I
ENSG00000108924	HLF
ENSG00000137309	HMGA1
ENSG00000149948	HMGA2
ENSG00000179362	HMGN2P46
ENSG00000135100	HNF1A
ENSG00000122566	HNRNPA2B1
ENSG00000168172	HOOK3
ENSG00000005073	HOXA11
ENSG00000106031	HOXA13
ENSG00000078399	HOXA9
ENSG00000123388	HOXC11
ENSG00000123364	HOXC13
ENSG00000128713	HOXD11
ENSG00000128714	HOXD13
ENSG00000174775	HRAS
ENSG00000080824	HSP90AA1
ENSG00000096384	HSP90AB1
ENSG00000138413	IDH1
ENSG00000182054	IDH2
ENSG00000185811	IKZF1
ENSG00000109471	IL2
ENSG00000103522	IL21R
ENSG00000134352	IL6ST
ENSG00000168685	IL7R
ENSG00000137265	IRF4
ENSG00000182149	IST1
ENSG00000113263	ITK
ENSG00000162434	JAK1
ENSG00000096968	JAK2
ENSG00000105639	JAK3
ENSG00000153814	JAZF1
ENSG00000177606	JUN
ENSG00000083168	KAT6A
ENSG00000156650	KAT6B
ENSG00000073614	KDM5A
ENSG00000126012	KDM5C
ENSG00000147050	KDM6A
ENSG00000128052	KDR
ENSG00000119537	KDSR
ENSG00000122778	KIAA1549
ENSG00000170759	KIF5B
ENSG00000157404	KIT
ENSG00000067082	KLF6
ENSG00000167751	KLK2
ENSG00000133703	KRAS
ENSG00000126777	KTN1
ENSG00000002834	LASP1
ENSG00000182866	LCK
ENSG00000136167	LCP1
ENSG00000183722	LHFP
ENSG00000113594	LIFR
ENSG00000166407	LMO1
ENSG00000135363	LMO2
ENSG00000145012	LPP
ENSG00000139263	LRIG3
ENSG00000175324	LSM1
ENSG00000104903	LYL1
ENSG00000178573	MAF
ENSG00000204103	MAFB
ENSG00000278217	MALAT1
ENSG00000279576	MALAT1
ENSG00000251562	MALAT1
ENSG00000172175	MALT1
ENSG00000184384	MAML2
ENSG00000065559	MAP2K4
ENSG00000197442	MAP3K5
ENSG00000135679	MDM2
ENSG00000198625	MDM4
ENSG00000197880	MDS2
ENSG00000085276	MECOM
ENSG00000184634	MED12
ENSG00000063322	MED29
ENSG00000133895	MEN1
ENSG00000105976	MET
ENSG00000187098	MITF
ENSG00000196588	MKL1
ENSG00000178053	MLF1
ENSG00000076242	MLH1
ENSG00000130382	MLLT1
ENSG00000078403	MLLT10
ENSG00000213190	MLLT11
ENSG00000171843	MLLT3
ENSG00000130396	MLLT4
ENSG00000275023	MLLT6
ENSG00000169184	MN1
ENSG00000130675	MNX1
ENSG00000117400	MPL
ENSG00000095002	MSH2
ENSG00000116062	MSH6
ENSG00000153944	MSI2
ENSG00000147065	MSN
ENSG00000214827	MTCP1
ENSG00000147649	MTDH
ENSG00000185499	MUC1
ENSG00000132781	MUTYH
ENSG00000118513	MYB
ENSG00000136997	MYC
ENSG00000134323	MYCN
ENSG00000172936	MYD88
ENSG00000133392	MYH11
ENSG00000100345	MYH9
ENSG00000196531	NACA
ENSG00000104320	NBN
ENSG00000213672	NCKIPSD
ENSG00000084676	NCOA1
ENSG00000140396	NCOA2
ENSG00000124151	NCOA3
ENSG00000266412	NCOA4
ENSG00000104419	NDRG1
ENSG00000196712	NF1
ENSG00000186575	NF2
ENSG00000116044	NFE2L2
ENSG00000147862	NFIB
ENSG00000077150	NFKB2
ENSG00000100503	NIN
ENSG00000136352	NKX2-1
ENSG00000136327	NKX2-8
ENSG00000147140	NONO
ENSG00000148400	NOTCH1
ENSG00000134250	NOTCH2
ENSG00000181163	NPM1
ENSG00000119508	NR4A3
ENSG00000213281	NRAS
ENSG00000165671	NSD1
ENSG00000198400	NTRK1
ENSG00000140538	NTRK3
ENSG00000137497	NUMA1
ENSG00000126883	NUP214
ENSG00000110713	NUP98
ENSG00000205927	OLIG2
ENSG00000127083	OMD
ENSGR0000182162	P2RY8
ENSG00000182162	P2RY8
ENSG00000168092	PAFAH1B2
ENSG00000149269	PAK1
ENSG00000083093	PALB2
ENSG00000100105	PATZ1
ENSG00000135903	PAX3
ENSG00000196092	PAX5
ENSG00000009709	PAX7
ENSG00000125618	PAX8
ENSG00000198807	PAX9
ENSG00000163939	PBRM1
ENSG00000185630	PBX1
ENSG00000078674	PCM1
ENSG00000160613	PCSK7
ENSG00000197646	PDCD1LG2
ENSG00000178104	PDE4DIP
ENSG00000100311	PDGFB
ENSG00000134853	PDGFRA
ENSG00000113721	PDGFRB
ENSG00000179094	PER1
ENSG00000156531	PHF6
ENSG00000109132	PHOX2B
ENSG00000073921	PICALM
ENSG00000121879	PIK3CA
ENSG00000145675	PIK3R1
ENSG00000137193	PIM1
ENSG00000069764	PLA2G10
ENSG00000181690	PLAG1
ENSG00000140464	PML
ENSG00000064933	PMS1
ENSG00000122512	PMS2
ENSG00000110777	POU2AF1
ENSG00000204531	POU5F1
ENSG00000132170	PPARG
ENSG00000170836	PPM1D
ENSG00000105568	PPP2R1A
ENSG00000143294	PRCC
ENSG00000057657	PRDM1
ENSG00000142611	PRDM16
ENSG00000180644	PRF1
ENSG00000108946	PRKAR1A
ENSG00000163558	PRKCI
ENSG00000116132	PRRX1
ENSG00000164985	PSIP1
ENSG00000185920	PTCH1
ENSG00000171862	PTEN
ENSG00000101213	PTK6
ENSG00000179295	PTPN11
ENSG00000112210	RAB23
ENSG00000132698	RAB25
ENSG00000029725	RABEP1
ENSG00000182185	RAD51B
ENSG00000132155	RAF1
ENSG00000160271	RALGDS
ENSG00000204764	RANBP17
ENSG00000138698	RAP1GDS1
ENSG00000131759	RARA
ENSG00000139687	RB1
ENSG00000162775	RBM15
ENSG00000160957	RECQL4
ENSG00000162924	REL
ENSG00000165731	RET
ENSG00000168421	RHOH
ENSG00000175643	RMI2
ENSG00000173821	RNF213
ENSG00000047936	ROS1
ENSG00000116251	RPL22
ENSG00000163902	RPN1
ENSG00000108443	RPS6KB1
ENSG00000159216	RUNX1
ENSG00000079102	RUNX1T1
ENSG00000175792	RUVBL1
ENSG00000126524	SBDS
ENSG00000124145	SDC4
ENSG00000167985	SDHAF2
ENSG00000117118	SDHB
ENSG00000143252	SDHC
ENSG00000204370	SDHD
ENSG00000184702	SEPT5
ENSG00000125354	SEPT6
ENSG00000184640	SEPT9
ENSG00000119335	SET
ENSG00000181555	SETD2
ENSG00000115524	SF3B1
ENSG00000116560	SFPQ
ENSG00000141985	SH3GL1
ENSG00000160691	SHC1
ENSG00000164690	SHH
ENSG00000145604	SKP2
ENSG00000157765	SLC34A2
ENSG00000158715	SLC45A3
ENSG00000141646	SMAD4
ENSG00000127616	SMARCA4
ENSG00000099956	SMARCB1
ENSG00000128602	SMO
ENSG00000198742	SMURF1
ENSG00000048471	SNX29
ENSG00000185338	SOCS1
ENSG00000181449	SOX2
ENSG00000128487	SPECC1
ENSG00000196220	SRGAP3
ENSG00000161547	SRSF2
ENSG00000112081	SRSF3
ENSG00000141380	SS18
ENSG00000184402	SS18L1
ENSG00000126752	SSX1
ENSG00000241476	SSX2
ENSG00000268009	SSX4
ENSG00000131748	STARD3
ENSG00000123473	STIL
ENSG00000118046	STK11
ENSG00000107882	SUFU
ENSG00000178691	SUZ12
ENSG00000165025	SYK
ENSG00000270647	TAF15
