anno	geneIDs	geneNames
1	?|100130426	100130426	?
2	?|100133144	100133144	?
3	?|100134869	100134869	?
4	?|10357	10357	?
5	?|10431	10431	?
6	?|136542	136542	?
7	?|155060	155060	?
8	?|26823	26823	?
9	?|280660	280660	?
10	?|317712	317712	?
11	?|340602	340602	?
12	?|388795	388795	?
13	?|390284	390284	?
14	?|391343	391343	?
15	?|391714	391714	?
16	?|404770	404770	?
17	?|441362	441362	?
18	?|442388	442388	?
19	?|553137	553137	?
20	?|57714	57714	?
21	?|645851	645851	?
22	?|652919	652919	?
23	?|653553	653553	?
24	?|728045	728045	?
25	?|728603	728603	?
26	?|728788	728788	?
27	?|729884	729884	?
28	?|8225	8225	?
29	?|90288	90288	?
30	A1BG|1	1	A1BG
31	A1CF|29974	29974	A1CF
32	A2BP1|54715	54715	A2BP1
33	A2LD1|87769	87769	A2LD1
34	A2ML1|144568	144568	A2ML1
35	A2M|2	2	A2M
36	A4GALT|53947	53947	A4GALT
37	A4GNT|51146	51146	A4GNT
38	AAA1|404744	404744	AAA1
39	AAAS|8086	8086	AAAS
40	AACSL|729522	729522	AACSL
41	AACS|65985	65985	AACS
42	AADACL2|344752	344752	AADACL2
43	AADACL3|126767	126767	AADACL3
44	AADACL4|343066	343066	AADACL4
45	AADAC|13	13	AADAC
46	AADAT|51166	51166	AADAT
47	AAGAB|79719	79719	AAGAB
48	AAK1|22848	22848	AAK1
49	AAMP|14	14	AAMP
50	AANAT|15	15	AANAT
51	AARS2|57505	57505	AARS2
52	AARSD1|80755	80755	AARSD1
53	AARS|16	16	AARS
54	AASDHPPT|60496	60496	AASDHPPT
55	AASDH|132949	132949	AASDH
56	AASS|10157	10157	AASS
57	AATF|26574	26574	AATF
58	AATK|9625	9625	AATK
59	ABAT|18	18	ABAT
60	ABCA10|10349	10349	ABCA10
61	ABCA11P|79963	79963	ABCA11P
62	ABCA12|26154	26154	ABCA12
63	ABCA13|154664	154664	ABCA13
64	ABCA17P|650655	650655	ABCA17P
65	ABCA1|19	19	ABCA1
66	ABCA2|20	20	ABCA2
67	ABCA3|21	21	ABCA3
68	ABCA4|24	24	ABCA4
69	ABCA5|23461	23461	ABCA5
70	ABCA6|23460	23460	ABCA6
71	ABCA7|10347	10347	ABCA7
72	ABCA8|10351	10351	ABCA8
73	ABCA9|10350	10350	ABCA9
74	ABCB10|23456	23456	ABCB10
75	ABCB11|8647	8647	ABCB11
76	ABCB1|5243	5243	ABCB1
77	ABCB4|5244	5244	ABCB4
78	ABCB5|340273	340273	ABCB5
79	ABCB6|10058	10058	ABCB6
80	ABCB7|22	22	ABCB7
81	ABCB8|11194	11194	ABCB8
82	ABCB9|23457	23457	ABCB9
83	ABCC10|89845	89845	ABCC10
84	ABCC11|85320	85320	ABCC11
85	ABCC12|94160	94160	ABCC12
86	ABCC13|150000	150000	ABCC13
87	ABCC1|4363	4363	ABCC1
88	ABCC2|1244	1244	ABCC2
89	ABCC3|8714	8714	ABCC3
90	ABCC4|10257	10257	ABCC4
91	ABCC5|10057	10057	ABCC5
92	ABCC6P1|653190	653190	ABCC6P1
93	ABCC6P2|730013	730013	ABCC6P2
94	ABCC6|368	368	ABCC6
95	ABCC8|6833	6833	ABCC8
96	ABCC9|10060	10060	ABCC9
97	ABCD1|215	215	ABCD1
98	ABCD2|225	225	ABCD2
99	ABCD3|5825	5825	ABCD3
100	ABCD4|5826	5826	ABCD4
101	ABCE1|6059	6059	ABCE1
102	ABCF1|23	23	ABCF1
103	ABCF2|10061	10061	ABCF2
104	ABCF3|55324	55324	ABCF3
105	ABCG1|9619	9619	ABCG1
106	ABCG2|9429	9429	ABCG2
107	ABCG4|64137	64137	ABCG4
108	ABCG5|64240	64240	ABCG5
109	ABCG8|64241	64241	ABCG8
110	ABHD10|55347	55347	ABHD10
111	ABHD11|83451	83451	ABHD11
112	ABHD12B|145447	145447	ABHD12B
113	ABHD12|26090	26090	ABHD12
114	ABHD13|84945	84945	ABHD13
115	ABHD14A|25864	25864	ABHD14A
116	ABHD14B|84836	84836	ABHD14B
117	ABHD15|116236	116236	ABHD15
118	ABHD1|84696	84696	ABHD1
119	ABHD2|11057	11057	ABHD2
120	ABHD3|171586	171586	ABHD3
121	ABHD4|63874	63874	ABHD4
122	ABHD5|51099	51099	ABHD5
123	ABHD6|57406	57406	ABHD6
124	ABHD8|79575	79575	ABHD8
125	ABI1|10006	10006	ABI1
126	ABI2|10152	10152	ABI2
127	ABI3BP|25890	25890	ABI3BP
128	ABI3|51225	51225	ABI3
129	ABL1|25	25	ABL1
130	ABL2|27	27	ABL2
131	ABLIM1|3983	3983	ABLIM1
132	ABLIM2|84448	84448	ABLIM2
133	ABLIM3|22885	22885	ABLIM3
134	ABO|28	28	ABO
135	ABP1|26	26	ABP1
136	ABRA|137735	137735	ABRA
137	ABR|29	29	ABR
138	ABT1|29777	29777	ABT1
139	ABTB1|80325	80325	ABTB1
140	ABTB2|25841	25841	ABTB2
141	ACAA1|30	30	ACAA1
142	ACAA2|10449	10449	ACAA2
143	ACACA|31	31	ACACA
144	ACACB|32	32	ACACB
145	ACAD10|80724	80724	ACAD10
146	ACAD11|84129	84129	ACAD11
147	ACAD8|27034	27034	ACAD8
148	ACAD9|28976	28976	ACAD9
149	ACADL|33	33	ACADL
150	ACADM|34	34	ACADM
151	ACADSB|36	36	ACADSB
152	ACADS|35	35	ACADS
153	ACADVL|37	37	ACADVL
154	ACAN|176	176	ACAN
155	ACAP1|9744	9744	ACAP1
156	ACAP2|23527	23527	ACAP2
157	ACAP3|116983	116983	ACAP3
158	ACAT1|38	38	ACAT1
159	ACAT2|39	39	ACAT2
160	ACBD3|64746	64746	ACBD3
161	ACBD4|79777	79777	ACBD4
162	ACBD5|91452	91452	ACBD5
163	ACBD6|84320	84320	ACBD6
164	ACBD7|414149	414149	ACBD7
165	ACCN1|40	40	ACCN1
166	ACCN2|41	41	ACCN2
167	ACCN3|9311	9311	ACCN3
168	ACCN4|55515	55515	ACCN4
169	ACCN5|51802	51802	ACCN5
