GeneID	Symbol
ENSG00000138443	ABI2
ENSG00000140873	ADAMTS18
ENSG00000163638	ADAMTS9
ENSG00000144843	ADPRH
ENSG00000135439	AGAP2
ENSG00000063438	AHRR
ENSG00000163568	AIM2
ENSG00000164022	AIMP1
ENSG00000110711	AIP
ENSG00000131016	AKAP12
ENSG00000085662	AKR1B1
ENSG00000128918	ALDH1A2
ENSG00000104899	AMH
ENSG00000140350	ANP32A
ENSG00000135046	ANXA1
ENSG00000138279	ANXA7
ENSG00000120868	APAF1
ENSG00000134982	APC
ENSG00000115266	APC2
ENSG00000143761	ARF1
ENSG00000137727	ARHGAP20
ENSG00000137962	ARHGAP29
ENSG00000196914	ARHGEF12
ENSG00000117713	ARID1A
ENSG00000189079	ARID2
ENSG00000179361	ARID3B
ENSG00000152213	ARL11
ENSG00000170632	ARMC10
ENSG00000139352	ASCL1
ENSG00000171456	ASXL1
ENSG00000149311	ATM
ENSG00000132932	ATP8A2
ENSG00000175054	ATR
ENSG00000103126	AXIN1
ENSG00000168646	AXIN2
ENSG00000121753	BAI2
ENSG00000135298	BAI3
ENSG00000172530	BANP
ENSG00000163930	BAP1
ENSG00000138376	BARD1
ENSG00000087088	BAX
ENSG00000142867	BCL10
ENSG00000186716	BCR
ENSG00000126581	BECN1
ENSG00000133134	BEX2
ENSG00000123095	BHLHE41
ENSG00000100290	BIK
ENSG00000136717	BIN1
ENSG00000166619	BLCAP
ENSG00000197299	BLM
ENSG00000163217	BMP10
ENSG00000125845	BMP2
ENSG00000104765	BNIP3L
ENSG00000012048	BRCA1
ENSG00000139618	BRCA2
ENSG00000166164	BRD7
ENSG00000185024	BRF1
ENSG00000174744	BRMS1
ENSG00000159388	BTG2
ENSG00000137707	BTG4
ENSG00000156970	BUB1B
ENSG00000154493	C10orf90
ENSG00000119147	C2orf40
ENSG00000134508	CABLES1
ENSG00000149679	CABLES2
ENSG00000182985	CADM1
ENSG00000162706	CADM3
ENSG00000105767	CADM4
ENSG00000171735	CAMTA1
ENSG00000042493	CAPG
ENSG00000064012	CASP8
ENSG00000105974	CAV1
ENSG00000105971	CAV2
ENSG00000129993	CBFA2T3
ENSG00000128596	CCDC136
ENSG00000112237	CCNC
ENSG00000085117	CD82
ENSG00000134371	CDC73
ENSG00000039068	CDH1
ENSG00000140937	CDH11
ENSG00000140945	CDH13
ENSG00000179242	CDH4
ENSG00000248333	CDK11B
ENSG00000111328	CDK2AP1
ENSG00000167797	CDK2AP2
ENSG00000124762	CDKN1A
ENSG00000129757	CDKN1C
ENSG00000147889	CDKN2A
ENSG00000147883	CDKN2B
ENSG00000123080	CDKN2C
ENSG00000129355	CDKN2D
ENSG00000079385	CEACAM1
ENSG00000007306	CEACAM7
ENSG00000245848	CEBPA
ENSG00000221869	CEBPD
ENSG00000116254	CHD5
ENSG00000149554	CHEK1
ENSG00000183765	CHEK2
ENSG00000072609	CHFR
ENSG00000213341	CHUK
ENSG00000253958	CLDN23
ENSG00000120885	CLU
ENSG00000166091	CMTM5
ENSG00000174469	CNTNAP2
ENSG00000182871	COL18A1
ENSG00000169031	COL4A3
ENSG00000166200	COPS2
ENSG00000178773	CPNE7
ENSG00000005339	CREBBP
ENSG00000111269	CREBL2
ENSG00000170367	CST5
ENSG00000175315	CST6
ENSG00000159692	CTBP1
ENSG00000175029	CTBP2
ENSG00000102974	CTCF
ENSG00000144677	CTDSPL
ENSG00000118523	CTGF
ENSG00000198561	CTNND1
ENSG00000055130	CUL1
ENSG00000108094	CUL2
ENSG00000036257	CUL3
ENSG00000139842	CUL4A
ENSG00000166266	CUL5
ENSG00000114395	CYB561D2
ENSG00000271858	CYB561D2
ENSG00000161544	CYGB
ENSG00000083799	CYLD
ENSG00000153071	DAB2
ENSG00000136848	DAB2IP
ENSG00000196730	DAPK1
ENSG00000167657	DAPK3
ENSG00000187323	DCC
ENSG00000215301	DDX3X
ENSG00000173077	DEC1
ENSG00000164825	DEFB1
ENSG00000105928	DFNA5
ENSG00000101191	DIDO1
ENSG00000176490	DIRAS1
ENSG00000162595	DIRAS3
ENSG00000107984	DKK1
ENSG00000050165	DKK3
ENSG00000164741	DLC1
ENSG00000008226	DLEC1
ENSG00000075711	DLG1
ENSG00000187908	DMBT1
ENSG00000135164	DMTF1
ENSG00000162616	DNAJB4
ENSG00000007923	DNAJC11
ENSG00000115325	DOK1
ENSG00000147443	DOK2
ENSG00000146094	DOK3
ENSG00000108963	DPH1
ENSG00000197635	DPP4
ENSG00000112679	DUSP22
ENSG00000139318	DUSP6
ENSG00000101412	E2F1
ENSG00000131080	EDA2R
ENSG00000156508	EEF1A1
ENSG00000124802	EEF1E1
ENSG00000169242	EFNA1
ENSG00000184349	EFNA5
ENSG00000135766	EGLN1
ENSG00000129521	EGLN3
ENSG00000120738	EGR1
ENSG00000122877	EGR2
ENSG00000135373	EHF
ENSG00000149547	EI24
ENSG00000173812	EIF1
ENSG00000055332	EIF2AK2
ENSG00000134531	EMP1
