GeneID	Symbol
ENSG00000275700	AATF
ENSG00000097007	ABL1
ENSG00000146109	ABT1
ENSG00000114626	ABTB1
ENSG00000101126	ADNP
ENSG00000101544	ADNP2
ENSG00000106624	AEBP1
ENSG00000139154	AEBP2
ENSG00000104964	AES
ENSG00000172493	AFF1
ENSG00000144218	AFF3
ENSG00000072364	AFF4
ENSG00000133612	AGAP3
ENSG00000153207	AHCTF1
ENSG00000106546	AHR
ENSG00000110711	AIP
ENSG00000160224	AIRE
ENSGR0000197976	AKAP17A
ENSG00000197976	AKAP17A
ENSG00000180318	ALX1
ENSG00000156150	ALX3
ENSG00000052850	ALX4
ENSG00000183684	ALYREF
ENSG00000164331	ANKRA2
ENSG00000148677	ANKRD1
ENSG00000088448	ANKRD10
ENSG00000165887	ANKRD2
ENSG00000152766	ANKRD22
ENSG00000148513	ANKRD30A
ENSG00000133302	ANKRD32
ENSG00000167612	ANKRD33
ENSG00000137494	ANKRD42
ENSG00000183831	ANKRD45
ENSG00000168876	ANKRD49
ENSG00000144031	ANKRD53
ENSG00000100124	ANKRD54
ENSG00000164512	ANKRD55
ENSG00000135299	ANKRD6
ENSG00000106013	ANKRD7
ENSG00000064999	ANKS1A
ENSG00000168096	ANKS3
ENSG00000163516	ANKZF1
ENSG00000166313	APBB1
ENSG00000163697	APBB2
ENSG00000134982	APC
ENSG00000100823	APEX1
ENSG00000169083	AR
ENSG00000160007	ARHGAP35
ENSG00000117713	ARID1A
ENSG00000049618	ARID1B
ENSG00000116017	ARID3A
ENSG00000179361	ARID3B
ENSG00000032219	ARID4A
ENSG00000054267	ARID4B
ENSG00000150347	ARID5B
ENSG00000143437	ARNT
ENSG00000172379	ARNT2
ENSG00000133794	ARNTL
ENSG00000029153	ARNTL2
ENSG00000004848	ARX
ENSG00000065802	ASB1
ENSG00000146926	ASB10
ENSG00000165192	ASB11
ENSG00000198881	ASB12
ENSG00000146809	ASB15
ENSG00000005981	ASB4
ENSG00000148331	ASB6
ENSG00000177981	ASB8
ENSG00000102048	ASB9
ENSG00000138303	ASCC1
ENSG00000100325	ASCC2
ENSG00000112249	ASCC3
ENSG00000139352	ASCL1
ENSG00000183734	ASCL2
ENSG00000176009	ASCL3
ENSG00000116539	ASH1L
ENSG00000129691	ASH2L
ENSG00000171456	ASXL1
ENSG00000123268	ATF1
ENSG00000115966	ATF2
